"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","dS","dN","MutationRate","Ne"
"fpkmpolcounts7","fpkmpolcounts","fpkmpolcounts7_69803.3893388143_PolyDFE.output","69803.3893388143","0.374752468888965","0.287000571229545","0.159656979427936","0.178562574853554","2.6586894902092e-05","8.18705097938022e-07","0.27861503224","-196.11513767","2.74056e-05","0.28483709263","0.000169","0.00014276621","1e-04","Expression level","69803.3893388143","PolyDFE.input","0.00689042589726638","0.00190194420963652","0.276027090051294","fpkmpolcounts","10880.3709128072","69899.0527729319","503","0.158807781819444","0.03130145875","2.56141583579748e-08","67252.1208872854"
"fpkmpolcounts8","fpkmpolcounts","fpkmpolcounts8_111739.875090759_PolyDFE.output","111739.875090759","0.364510874655329","0.283277660972336","0.16145673604048","0.190656993231855","8.70524825498098e-05","1.06826174501862e-05","0.2675795523","-191.58048701","9.77351e-05","0.45174405119","0.000616","0.01122445165","1e-04","Expression level","111739.875090759","PolyDFE.input","0.00676736828405811","0.00196512723419201","0.290382782746029","fpkmpolcounts","12894.072731605","111784.616359226","490","0.161450948675241","0.0293981208488746","2.60404755927808e-08","64969.7070618616"
"fpkmpolcounts9","fpkmpolcounts","fpkmpolcounts9_165160.494261005_PolyDFE.output","165160.494261005","0.416842792045037","0.246327977779955","0.144567196245161","0.191749827969848","0.000313272182192459","0.000198933777807553","0.24461857733","-310.27679507","0.00051220596","1.05735649859","0.004321","0.00217332291","0.00735","Expression level","165160.494261005","PolyDFE.input","0.00594300889161704","0.00169564621545557","0.285317798842161","fpkmpolcounts","18472.0920811989","165160.494261005","549","0.151775253849711","0.0303527635346821","2.44798796531792e-08","60692.7911392451"
"GOterms1","GOterms","GOterms1_GO.0006355_PolyDFE.output","121123","0.329264209511796","0.343940532621605","0.175504841255024","0.151244166721575","4.21269594264029e-05","4.12293057361346e-06","0.33712259992","-127.82833847","4.624989e-05","0.413651343","0.000352","0.01322710359","9e-05","GO group size","40387","PolyDFE.input","0.00495995302956695","0.00131594884875602","0.265314780384305","GOterms","0","0","199","0.15365542153125","0.0295109271875","2.47831325050403e-08","50033.5563770864"
"GOterms10","GOterms","GOterms10_GO.0007165_PolyDFE.output","135084","0.0351886225951037","0.383748602326605","0.316415725027458","0.264245555660834","0.000364614529047902","3.68798609521326e-05","0.36023807555","-19.725792524","0.00040149439","0.41884326733","0.001742","0.00783171494","0.00062","GO group size","37947","PolyDFE.input","0.00589387412179743","0.00269352184495898","0.457003626018662","GOterms","0","0","126","0.152312343372093","0.0360531319767442","2.45665069954989e-08","59978.7560648866"
"GOterms11","GOterms","GOterms11_GO.0016757_PolyDFE.output","30278","0.603263753168257","0.191316604682783","0.0995963851812195","0.10577793493774","4.48158343451244e-05","5.06195654836894e-07","0.28840182847","-1005.6730163","4.532203e-05","0.22248795974","0.000455","3.485861e-05","9e-05","GO group size","1184030","PolyDFE.input","0.00675548046710011","0.00113258876638931","0.167654805887625","GOterms","0","0","143","0.155323998940476","0.0178620999047619","2.50522578936252e-08","67413.8883587327"
"GOterms12","GOterms","GOterms12_GO.0004672_PolyDFE.output","56094","0.522237747802995","0.20097066288172","0.117202086469167","0.159523847526118","6.14271454165705e-05","4.22817458345381e-06","0.23946149183","-761.72178687","6.565532e-05","0.36461109852","0.000477","0.00452707071","6e-05","GO group size","101062","PolyDFE.input","0.00561322625310558","0.00135811861211259","0.241949736367958","GOterms","0","0","131","0.155731083320513","0.0238984885384615","2.51179166645989e-08","55868.7482729892"
"GOterms13","GOterms","GOterms13_GO.0009793_PolyDFE.output","1119","0.551621653882255","0.186002893755385","0.109306628851426","0.152739437730934","0.000254015427295751","7.53703527042182e-05","0.23459147904","-1055.3469123","0.00032938578","0.67805084659","0.002925","0.00861775837","0.00036","GO group size","179616","PolyDFE.input","0.00525250200842047","0.00119115216828184","0.226778050988321","GOterms","0","0","159","0.147453719287129","0.0218459198811881","2.37828579495369e-08","55213.1078986109"
"GOterms14","GOterms","GOterms14_GO.0009737_PolyDFE.output","2813","0.560614289274854","0.216700989414118","0.110682034957544","0.111569360903484","0.000283834443557951","0.000149491006442015","0.29971716914","-646.32694006","0.00043332545","0.939626349","0.005835","0.01669173504","9e-05","GO group size","1181057","PolyDFE.input","0.00765532103501505","0.00136901870290065","0.178832304568134","GOterms","0","0","177","0.162356938230088","0.0257168509292035","2.61866029403368e-08","73084.3272460429"
"GOterms15","GOterms","GOterms15_GO.0016567_PolyDFE.output","22191","0.526057820908309","0.205141412823377","0.117144383857978","0.151412534210336","0.000200879681007016","4.29685189929918e-05","0.24914400078","-720.25597339","0.0002438482","0.57601092947","0.002069","0.00011232899","0.00021","GO group size","63685","PolyDFE.input","0.00615091905836827","0.00138997631740916","0.22597863899999","GOterms","0","0","221","0.158718093586207","0.031515465137931","2.55996925139044e-08","60068.2904201625"
