"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","SD","FactorMean","NumGenes","dS","Variable","source","pi4","pi0","pi04","GroupingVariable","MutationRate","Ne"
"NetworkConnectivity15polcounts2","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts2_3.03719599427754_PolyDFE.output","3.03719599427754","0.365234301730917","0.277654296286692","0.160405001566301","0.196513794046089","0.000142737002223337","4.98693677766227e-05","0.26023205857","-198.45691038","0.00019260637","0.74006008802","0.001363","0.00988464532","0.00063","Connectivity","0.72725882252185","3.0343347639485","699","0.167423185118644","3.03719599427754","PolyDFE.input","0.00658944180579104","0.00194093467279424","0.294552213980929","NetworkConnectivity15polcounts","2.70037395352652e-08","61004.9007951811"
"NetworkConnectivity15polcounts3","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts3_5.53541076487252_PolyDFE.output","5.53541076487252","0.390730524405232","0.243337609748521","0.148638605084803","0.216754287741444","0.000325702149893026","0.00021327087010703","0.22737134842","-283.91068336","0.00053897302","1.07862942571","0.004083","0.00221062698","0.01059","Connectivity","0.915236120721377","5.52765957446809","705","0.166097952919903","5.53541076487252","PolyDFE.input","0.00650063221432907","0.00208888639077766","0.321335882712025","NetworkConnectivity15polcounts","2.6789992406436e-08","60662.8784706875"
"NetworkConnectivity15polcounts4","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts4_8.7887323943662_PolyDFE.output","8.7887323943662","0.394835796808612","0.273879431940544","0.153446449994665","0.177612425396178","0.00016410374734499","6.17921126550014e-05","0.27141203027","-230.53517667","0.00022589586","0.77142733901","0.001788","0.00329293084","0.00059","Connectivity","1.11901227789992","8.7734375","640","0.161257070036082","8.7887323943662","PolyDFE.input","0.0068678416055129","0.00188468056861179","0.274421088439043","NetworkConnectivity15polcounts","2.60092048445294e-08","66013.5675673823"
"NetworkConnectivity15polcounts5","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts5_12.8995633187773_PolyDFE.output","12.8995633187773","0.449373897012704","0.253129035627948","0.139011389420209","0.158383605679139","8.28258099628831e-05","1.9246450037147e-05","0.27432108046","-330.32693651","0.00010207226","0.59939304366","0.000832","0.0163728729","0.0024","Connectivity","1.28999651013024","12.8848396501458","686","0.153868648803279","12.8995633187773","PolyDFE.input","0.00676405916097927","0.00163018669170823","0.241007160480279","NetworkConnectivity15polcounts","2.48175240005289e-08","68137.9331076211"
"NetworkConnectivity15polcounts6","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts6_17.8788343558282_PolyDFE.output","17.8788343558282","0.426473069016296","0.25569320453104","0.144246742541599","0.173513621811065","6.63365240447522e-05","7.0255759552218e-06","0.26348577972","-297.93607025","7.33621e-05","0.4262846692","0.000502","0.00155375109","0.00024","Connectivity","1.71470830528566","17.8641221374046","655","0.156317777081281","17.8788343558282","PolyDFE.input","0.00688716276821028","0.00179609256674454","0.260788459223722","NetworkConnectivity15polcounts","2.52125446905292e-08","68291.031833028"
"NetworkConnectivity15polcounts7","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts7_25.2577464788732_PolyDFE.output","25.2577464788732","0.469340238563083","0.220178750422696","0.130133608824532","0.180295261309689","5.02943643714282e-05","1.84651562862292e-06","0.23633295778","-496.70401991","5.214088e-05","0.29934304378","0.000325","6.84431e-06","0.00057","Connectivity","2.60068281868117","25.2450704225352","710","0.159581355066667","25.2577464788732","PolyDFE.input","0.0061903147750111","0.00167485285179904","0.270560207787824","NetworkConnectivity15polcounts","2.57389282365592e-08","60125.9959050905"
"NetworkConnectivity15polcounts8","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts8_34.9429429429429_PolyDFE.output","34.9429429429429","0.44031281660175","0.257479877295542","0.141495285094181","0.160677762428528","3.32951616361932e-05","9.63418363753021e-07","0.2750499285","-308.70241775","3.425858e-05","0.28001756299","0.000234","0.0024894967","7e-05","Connectivity","3.05737700100585","34.9203007518797","665","0.160330179263027","34.9429429429429","PolyDFE.input","0.00679953366628037","0.00168696270443804","0.248099764959452","NetworkConnectivity15polcounts","2.58597063327463e-08","65734.8306549607"
"NetworkConnectivity15polcounts9","NetworkConnectivity15polcounts","NetworkConnectivity15polcounts9_45.7768313458262_PolyDFE.output","45.7768313458262","0.441343650150015","0.28480249675251","0.14281726116414","0.130932810713335","8.69871084459017e-05","1.67941115540859e-05","0.32151015067","-253.27182636","0.00010378122","0.54907141646","0.000982","0.00286300196","0.00039","Connectivity","3.22898182396521","45.7303754266212","586","0.158939626713889","45.7768313458262","PolyDFE.input","0.00729161014967358","0.0015904738259787","0.218123815361948","NetworkConnectivity15polcounts","2.56354236635305e-08","71108.734591022"
"SIFT15polcounts1","SIFT15polcounts","SIFT15polcounts1_0.440013490487251_PolyDFE.output","0.440013490487251","0.390050999551131","0.332556736206138","0.156793190418522","0.120523099444209","5.83730810369554e-05","1.76012989629992e-05","0.36416999952","-167.14845859","7.597438e-05","0.68379646366","0.000821","0.01659670219","0.00013","SIFT score","0.0121943910877305","0.440013490487251","730","0.166919616135647","0.440013490487251","PolyDFE.input","0.00741767615971541","0.0015851744203273","0.213702295192693","SIFT15polcounts","2.6922518731556e-08","68879.8495571398"
"SIFT15polcounts10","SIFT15polcounts","SIFT15polcounts10_0.495750180328788_PolyDFE.output","0.495750180328788","0.433603418543408","0.265878945695911","0.143847661149568","0.156630704031113","3.80194861216987e-05","1.25109387827393e-06","0.28380348916","-282.2505163","3.927058e-05","0.29015301615","0.000276","3.459531e-05","0.00061","SIFT score","0.00115066085067295","0.495744613544744","707","0.157565430509091","0.495750180328788","PolyDFE.input","0.00667819364530088","0.00167014474649534","0.250089295878766","SIFT15polcounts","2.54137791143695e-08","65694.6140836339"
